Thunderpants,Children|Comedy|Sci-Fi,12:58 AM,2:35 AM,4
Majesteit,Drama,12:05 AM,2:55 AM,2
Love the Beast,Documentary,12:53 AM,2:30 AM,1
Xtro,Horror|Sci-Fi,12:10 AM,2:50 AM,1
"Stranger, The",Drama|Film-Noir|Thriller,12:10 AM,2:05 AM,5
Money Train,Action|Comedy|Crime|Drama|Thriller,12:04 AM,2:57 AM,2
Black Robe,Adventure|Drama,12:15 AM,2:18 AM,4
Hester Street,Drama,12:15 AM,2:18 AM,3
Mi Amigo Hugo,Documentary,12:44 AM,2:23 AM,1
Wild Rovers,Western,12:38 AM,2:03 AM,2
The Third Half,Drama|Romance,12:49 AM,2:52 AM,5
Conspiracy,Action|Drama|Mystery|Thriller|War,12:49 AM,2:26 AM,2
Comanche Station,Western,12:57 AM,2:43 AM,1
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,Sci-Fi,12:42 AM,2:44 AM,2
Death in Brunswick,Comedy,12:08 AM,2:00 AM,2
Brief Encounter,Drama|Romance,12:13 AM,2:34 AM,5
Radioland Murders,Comedy|Mystery|Romance,12:17 AM,2:47 AM,2
Phish: Bittersweet Motel,Documentary,12:18 AM,2:07 AM,2
Black Moon,Horror,12:41 AM,2:56 AM,1
"Apple Dumpling Gang, The",Children|Comedy|Western,12:56 AM,2:22 AM,5
"Indian in the Cupboard, The",Adventure|Children|Fantasy,12:53 AM,2:20 AM,4
Emerald Cowboy,Documentary|Drama,12:51 AM,2:24 AM,5
Total Eclipse,Drama|Romance,12:10 AM,2:33 AM,2
Gantz: Perfect Answer,Action|Mystery|Sci-Fi,12:35 AM,2:36 AM,4
"Hangover Part III, The",Comedy,12:01 AM,2:44 AM,2
Ishtar,Comedy,12:45 AM,2:38 AM,1
"Norte, El",Adventure|Drama,12:03 AM,2:42 AM,5
Soap and Water,Comedy,12:29 AM,2:37 AM,1
Silent Fall,Drama|Thriller,12:37 AM,2:42 AM,2
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),Adventure|Children|Fantasy,12:09 AM,2:53 AM,5
Family Weekend,Comedy|Drama,12:52 AM,2:51 AM,3
"V.I.P.s, The",Drama,12:12 AM,2:38 AM,1
Wrestling Ernest Hemingway,Drama|Romance,12:42 AM,2:26 AM,5
Young Ones,Drama|Sci-Fi|Western,12:48 AM,2:49 AM,4
Garfield: The Movie,Animation|Children|Comedy,12:37 AM,2:45 AM,5
Dreams That Money Can Buy,Fantasy,12:02 AM,2:50 AM,5
Whispering Corridors (Yeogo Goedam),Drama|Horror,12:32 AM,2:20 AM,2
Crooklyn,Comedy|Drama,12:52 AM,2:06 AM,3
Emperor,Drama|War,12:17 AM,2:08 AM,5
Waterloo,Action|Drama|War,12:06 AM,2:33 AM,5
Ragtime,Drama,12:56 AM,2:27 AM,4
Double Indemnity,Crime|Drama|Thriller,12:13 AM,2:43 AM,1
"Loss of a Teardrop Diamond, The",Drama,12:15 AM,2:56 AM,5
The Gallant Hours,(no genres listed),12:28 AM,2:30 AM,5
Warrendale,Documentary,12:06 AM,2:38 AM,5
House of Sand (Casa de Areia),Drama,12:13 AM,2:13 AM,3
"Boys, The (Pojat)",Drama|War,12:14 AM,2:24 AM,3
War of the Wildcats (In Old Oklahoma),Western,12:22 AM,2:16 AM,2
